Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Somalia,30.9,0.48,0.0,0.001,64.38
Cameroon,25.0,0.43,0.0,0.001,58.14
Albania,40.33,0.34,0.001,0.001,118.62
Georgia,17.25,0.33,0.0,0.001,52.27
Libya,44.8,0.3,0.001,0.001,149.33
Zambia,20.86,0.24,0.0,0.0,86.92
Moldova,25.47,0.22,0.0,0.0,115.77
Puerto Rico,39.75,0.15,0.001,0.0,265.0
Luxembourg,0.9,0.12,0.0,0.0,7.5
N. Mariana Is.,29.12,0.1,0.0,0.0,291.2
United States Minor Outlying Islands,10.65,0.06,0.0,0.0,177.5
Tajikistan,3.56,0.05,0.0,0.0,71.2
Malta,10.1,0.04,0.0,0.0,252.5
Belarus,1.0,0.0,0.0,0.0,inf
Yemen Republc,0.1,0.0,0.0,0.0,inf
Niger,0.0,0.0,0.0,0.0,
Angola,0.14,0.0,0.0,0.0,inf
Zimbabwe,0.01,0.0,0.0,0.0,inf
Total,6554724.25,54191.26,100.0,100.0,120.96
